               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.047982,            0.021477,            0.023345,             0.54584,             0.58333,              0.2792,             0.15124,            0.033184,            0.016149,            0.020197,            0.004753,            0.004753,            0.004753
                  55,            0.050278,            0.022213,            0.016994,             0.66667,             0.16149,             0.32578,             0.16941,            0.030762,            0.016363,            0.021092,            0.004654,            0.004654,            0.004654
                  56,            0.049084,            0.024161,            0.017805,             0.66667,             0.16149,             0.32578,             0.16941,            0.030762,            0.016363,            0.021092,            0.004555,            0.004555,            0.004555
                  57,            0.055386,            0.023263,            0.018184,             0.66667,             0.16061,             0.32224,             0.13126,            0.029983,            0.016436,            0.020162,            0.004456,            0.004456,            0.004456
                  58,            0.052459,            0.023457,            0.017775,             0.66667,             0.16061,             0.32224,             0.13126,            0.029983,            0.016436,            0.020162,            0.004357,            0.004357,            0.004357
                  59,            0.043421,             0.01742,            0.019258,             0.66667,             0.16061,             0.32224,             0.13126,            0.029983,            0.016436,            0.020162,            0.004258,            0.004258,            0.004258
                  60,            0.052419,             0.02584,            0.015222,             0.66667,             0.16214,             0.31497,             0.13753,            0.029703,            0.016124,            0.020778,            0.004159,            0.004159,            0.004159
                  61,            0.058149,            0.020434,             0.01821,             0.66667,             0.16214,             0.31497,             0.13753,            0.029703,            0.016124,            0.020778,             0.00406,             0.00406,             0.00406
                  62,             0.05101,            0.025447,            0.016699,             0.15902,             0.43857,             0.25517,             0.13816,            0.029833,            0.015917,            0.020944,            0.003961,            0.003961,            0.003961
                  63,            0.039328,            0.020308,            0.018175,             0.15902,             0.43857,             0.25517,             0.13816,            0.029833,            0.015917,            0.020944,            0.003862,            0.003862,            0.003862
                  64,            0.041504,            0.022538,            0.014214,              0.5248,                0.25,             0.26396,             0.12194,            0.031842,            0.015824,            0.020148,            0.003763,            0.003763,            0.003763
                  65,            0.048501,            0.025472,            0.014898,              0.5248,                0.25,             0.26396,             0.12194,            0.031842,            0.015824,            0.020148,            0.003664,            0.003664,            0.003664
                  66,            0.042177,            0.024867,            0.026205,              0.5248,                0.25,             0.26396,             0.12194,            0.031842,            0.015824,            0.020148,            0.003565,            0.003565,            0.003565
                  67,             0.05108,            0.027672,            0.015135,                   1,             0.15756,              0.2884,             0.12967,            0.032583,            0.015525,            0.019543,            0.003466,            0.003466,            0.003466
                  68,            0.033529,            0.021622,            0.015025,                   1,             0.15756,              0.2884,             0.12967,            0.032583,            0.015525,            0.019543,            0.003367,            0.003367,            0.003367
                  69,            0.054769,            0.023321,            0.017279,             0.50375,                0.25,             0.23649,             0.11662,            0.032883,            0.015395,            0.019973,            0.003268,            0.003268,            0.003268
                  70,            0.041619,            0.024827,             0.01402,             0.50375,                0.25,             0.23649,             0.11662,            0.032883,            0.015395,            0.019973,            0.003169,            0.003169,            0.003169
                  71,            0.064255,            0.028715,            0.018582,             0.54413,             0.16667,             0.20706,            0.095926,            0.035195,            0.016141,            0.021663,             0.00307,             0.00307,             0.00307
